Name,Parent,Description
"teachers/educators",,
"learners",,
"governmental bodies",,
"parents",,
"educational providers and institutions",,
"education support personnel",,
"teacher trainers",,
"educational policy makers",,
"cultural institutions (such as libraries, archives and museums) and their users",,
"information and communications technology (ICT) infrastructure providers",,
"researchers, research institutions",,
"civil society organizations (including professional and student associations)",,
"publishers",,
"the public and private sectors",,
"intergovernmental organizations",,
"authors",,
"media and broadcasting groups",,
"funding bodies",,
"all",,
